feature,row_count,ticker_count,date_count,numeric_count,missing_fraction
financial_crisis_wiki_views,3943,0,3943,3943,0.15277180919639022
financial_crisis_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
financial_crisis_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
fiscal_policy_wiki_views,3943,0,3943,3943,0.15277180919639022
fiscal_policy_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
fiscal_policy_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
fonterra_wiki_views,3943,0,3943,3943,0.15277180919639022
fonterra_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
fonterra_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
forestry_in_new_zealand_wiki_views,3943,0,3943,3943,0.15277180919639022
forestry_in_new_zealand_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
forestry_in_new_zealand_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
free_trade_agreement_wiki_views,3943,0,3943,3943,0.15277180919639022
free_trade_agreement_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
free_trade_agreement_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
gold_wiki_views,3943,0,3943,3943,0.15277180919639022
gold_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
gold_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
government_debt_wiki_views,3943,0,3943,3943,0.15277180919639022
government_debt_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
government_debt_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
great_depression_wiki_views,3943,0,3943,3943,0.15277180919639022
great_depression_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
great_depression_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
house_price_index_wiki_views,3943,0,3943,3943,0.15277180919639022
house_price_index_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
house_price_index_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
immigration_to_new_zealand_wiki_views,3943,0,3943,3943,0.15277180919639022
immigration_to_new_zealand_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
immigration_to_new_zealand_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
inflation_wiki_views,3943,0,3943,3943,0.15277180919639022
inflation_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
inflation_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
interest_rate_wiki_views,3943,0,3943,3943,0.15277180919639022
interest_rate_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
interest_rate_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
iron_ore_wiki_views,3943,0,3943,3943,0.15277180919639022
iron_ore_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
iron_ore_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
kiwifruit_wiki_views,3943,0,3943,3943,0.15277180919639022
kiwifruit_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
kiwifruit_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
lamb_and_mutton_wiki_views,3943,0,3943,3943,0.15277180919639022
lamb_and_mutton_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
lamb_and_mutton_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
layoff_wiki_views,3943,0,3943,3943,0.15277180919639022
layoff_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
layoff_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
lithium_wiki_views,3943,0,3943,3943,0.15277180919639022
lithium_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
lithium_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
machine_learning_wiki_views,3943,0,3943,3943,0.15277180919639022
machine_learning_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
machine_learning_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
market_correction_wiki_views,3943,0,3943,3943,0.15277180919639022
market_correction_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
market_correction_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
milk_wiki_views,3943,0,3943,3943,0.15277180919639022
milk_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
milk_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
monetary_policy_wiki_views,3943,0,3943,3943,0.15277180919639022
monetary_policy_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
monetary_policy_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
mortgage_loan_wiki_views,3943,0,3943,3943,0.15277180919639022
mortgage_loan_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
mortgage_loan_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
national_debt_of_the_united_states_wiki_views,3943,0,3943,3943,0.15277180919639022
national_debt_of_the_united_states_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
national_debt_of_the_united_states_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
natural_gas_wiki_views,3943,0,3943,3943,0.15277180919639022
natural_gas_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
natural_gas_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
new_zealand_dollar_wiki_views,3943,0,3943,3943,0.15277180919639022
new_zealand_dollar_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
new_zealand_dollar_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
panic_selling_wiki_views,3943,0,3943,3943,0.15277180919639022
panic_selling_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
panic_selling_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
quantitative_easing_wiki_views,3943,0,3943,3943,0.15277180919639022
quantitative_easing_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
quantitative_easing_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
real_estate_wiki_views,3943,0,3943,3943,0.15277180919639022
real_estate_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
real_estate_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
recession_wiki_views,3943,0,3943,3943,0.15277180919639022
recession_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
recession_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
reserve_bank_of_new_zealand_wiki_views,3943,0,3943,3943,0.15277180919639022
reserve_bank_of_new_zealand_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
reserve_bank_of_new_zealand_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
sanctions_wiki_views,3943,0,3943,3943,0.15277180919639022
sanctions_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
sanctions_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
shipping_container_wiki_views,3943,0,3943,3943,0.15277180919639022
shipping_container_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
shipping_container_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
stock_market_crash_wiki_views,3943,0,3943,3943,0.15277180919639022
stock_market_crash_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
stock_market_crash_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
subprime_mortgage_crisis_wiki_views,3943,0,3943,3943,0.15277180919639022
subprime_mortgage_crisis_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
subprime_mortgage_crisis_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
supply_chain_wiki_views,3943,0,3943,3943,0.15277180919639022
supply_chain_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
supply_chain_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
tariff_wiki_views,3943,0,3943,3943,0.15277180919639022
tariff_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
tariff_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
tourism_in_new_zealand_wiki_views,3943,0,3943,3943,0.15277180919639022
tourism_in_new_zealand_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
tourism_in_new_zealand_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
trade_war_wiki_views,3943,0,3943,3943,0.15277180919639022
trade_war_wiki_views_desktop,3943,0,3943,3943,0.15277180919639022
trade_war_wiki_views_mobile,3943,0,3943,3943,0.15277180919639022
trans_pacific_partnership_wiki_views,3943,0,3943,3943,0.15277180919639022
