feature,observation_dates,series_count,gap_count,median_gap_days,gap_p90_days,max_gap_days,irregularity_ratio,frequency_label
annual_tax_provision,40,102,284,365.0,366.0,1096.0,0.13859989133897402,quarterly_or_slower
annual_tax_rate_for_calcs,40,102,284,365.0,366.0,1096.0,0.13859989133897402,quarterly_or_slower
annual_total_premiums_earned,4,1,3,365.0,365.8,366.0,0.0012915192350439223,quarterly_or_slower
annual_total_revenue,40,98,271,365.0,366.0,731.0,0.07415182675173904,quarterly_or_slower
annual_total_unusual_items,29,60,95,365.0,366.0,1096.0,0.36966758055752325,quarterly_or_slower
annual_total_unusual_items_excluding_goodwill,29,60,95,365.0,366.0,1096.0,0.36966758055752325,quarterly_or_slower
annual_write_off,6,2,4,365.5,621.5000000000001,731.0,0.43321159404547976,quarterly_or_slower
aquaculture_production_tonnes_arg,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_aus,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_aut,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_bel,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_bgd,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_bgr,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_bra,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_can,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_che,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_chl,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_chn,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_col,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_cri,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_cze,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_deu,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_dnk,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_esp,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_est,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_fin,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_fra,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_gbr,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_grc,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_hrv,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_hun,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_idn,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_ind,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_irl,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_isl,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_isr,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_ita,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_jpn,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_kor,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_ltu,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_lva,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_mex,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_mys,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_nld,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_nor,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
aquaculture_production_tonnes_nzl,23,1,22,365.0,366.0,366.0,0.0012201692367537625,quarterly_or_slower
