feature,source_name,row_count,ticker_count,date_count,numeric_parse_rate
fiscal_policy_wiki_views_mobile,wikimedia_pageviews,3943,0,3943,1.0
fonterra_wiki_views,wikimedia_pageviews,3943,0,3943,1.0
fonterra_wiki_views_desktop,wikimedia_pageviews,3943,0,3943,1.0
fonterra_wiki_views_mobile,wikimedia_pageviews,3943,0,3943,1.0
forestry_in_new_zealand_wiki_views,wikimedia_pageviews,3943,0,3943,1.0
forestry_in_new_zealand_wiki_views_desktop,wikimedia_pageviews,3943,0,3943,1.0
forestry_in_new_zealand_wiki_views_mobile,wikimedia_pageviews,3943,0,3943,1.0
free_trade_agreement_wiki_views,wikimedia_pageviews,3943,0,3943,1.0
free_trade_agreement_wiki_views_desktop,wikimedia_pageviews,3943,0,3943,1.0
free_trade_agreement_wiki_views_mobile,wikimedia_pageviews,3943,0,3943,1.0
gold_wiki_views,wikimedia_pageviews,3943,0,3943,1.0
gold_wiki_views_desktop,wikimedia_pageviews,3943,0,3943,1.0
gold_wiki_views_mobile,wikimedia_pageviews,3943,0,3943,1.0
government_debt_wiki_views,wikimedia_pageviews,3943,0,3943,1.0
government_debt_wiki_views_desktop,wikimedia_pageviews,3943,0,3943,1.0
government_debt_wiki_views_mobile,wikimedia_pageviews,3943,0,3943,1.0
great_depression_wiki_views,wikimedia_pageviews,3943,0,3943,1.0
great_depression_wiki_views_desktop,wikimedia_pageviews,3943,0,3943,1.0
great_depression_wiki_views_mobile,wikimedia_pageviews,3943,0,3943,1.0
house_price_index_wiki_views,wikimedia_pageviews,3943,0,3943,1.0
house_price_index_wiki_views_desktop,wikimedia_pageviews,3943,0,3943,1.0
house_price_index_wiki_views_mobile,wikimedia_pageviews,3943,0,3943,1.0
immigration_to_new_zealand_wiki_views,wikimedia_pageviews,3943,0,3943,1.0
immigration_to_new_zealand_wiki_views_desktop,wikimedia_pageviews,3943,0,3943,1.0
immigration_to_new_zealand_wiki_views_mobile,wikimedia_pageviews,3943,0,3943,1.0
inflation_wiki_views,wikimedia_pageviews,3943,0,3943,1.0
inflation_wiki_views_desktop,wikimedia_pageviews,3943,0,3943,1.0
inflation_wiki_views_mobile,wikimedia_pageviews,3943,0,3943,1.0
interest_rate_wiki_views,wikimedia_pageviews,3943,0,3943,1.0
interest_rate_wiki_views_desktop,wikimedia_pageviews,3943,0,3943,1.0
interest_rate_wiki_views_mobile,wikimedia_pageviews,3943,0,3943,1.0
iron_ore_wiki_views,wikimedia_pageviews,3943,0,3943,1.0
iron_ore_wiki_views_desktop,wikimedia_pageviews,3943,0,3943,1.0
iron_ore_wiki_views_mobile,wikimedia_pageviews,3943,0,3943,1.0
kiwifruit_wiki_views,wikimedia_pageviews,3943,0,3943,1.0
kiwifruit_wiki_views_desktop,wikimedia_pageviews,3943,0,3943,1.0
kiwifruit_wiki_views_mobile,wikimedia_pageviews,3943,0,3943,1.0
lamb_and_mutton_wiki_views,wikimedia_pageviews,3943,0,3943,1.0
lamb_and_mutton_wiki_views_desktop,wikimedia_pageviews,3943,0,3943,1.0
lamb_and_mutton_wiki_views_mobile,wikimedia_pageviews,3943,0,3943,1.0
layoff_wiki_views,wikimedia_pageviews,3943,0,3943,1.0
layoff_wiki_views_desktop,wikimedia_pageviews,3943,0,3943,1.0
layoff_wiki_views_mobile,wikimedia_pageviews,3943,0,3943,1.0
lithium_wiki_views,wikimedia_pageviews,3943,0,3943,1.0
lithium_wiki_views_desktop,wikimedia_pageviews,3943,0,3943,1.0
lithium_wiki_views_mobile,wikimedia_pageviews,3943,0,3943,1.0
machine_learning_wiki_views,wikimedia_pageviews,3943,0,3943,1.0
machine_learning_wiki_views_desktop,wikimedia_pageviews,3943,0,3943,1.0
machine_learning_wiki_views_mobile,wikimedia_pageviews,3943,0,3943,1.0
market_correction_wiki_views,wikimedia_pageviews,3943,0,3943,1.0
market_correction_wiki_views_desktop,wikimedia_pageviews,3943,0,3943,1.0
market_correction_wiki_views_mobile,wikimedia_pageviews,3943,0,3943,1.0
milk_wiki_views,wikimedia_pageviews,3943,0,3943,1.0
milk_wiki_views_desktop,wikimedia_pageviews,3943,0,3943,1.0
milk_wiki_views_mobile,wikimedia_pageviews,3943,0,3943,1.0
monetary_policy_wiki_views,wikimedia_pageviews,3943,0,3943,1.0
monetary_policy_wiki_views_desktop,wikimedia_pageviews,3943,0,3943,1.0
monetary_policy_wiki_views_mobile,wikimedia_pageviews,3943,0,3943,1.0
mortgage_loan_wiki_views,wikimedia_pageviews,3943,0,3943,1.0
mortgage_loan_wiki_views_desktop,wikimedia_pageviews,3943,0,3943,1.0
mortgage_loan_wiki_views_mobile,wikimedia_pageviews,3943,0,3943,1.0
national_debt_of_the_united_states_wiki_views,wikimedia_pageviews,3943,0,3943,1.0
national_debt_of_the_united_states_wiki_views_desktop,wikimedia_pageviews,3943,0,3943,1.0
national_debt_of_the_united_states_wiki_views_mobile,wikimedia_pageviews,3943,0,3943,1.0
natural_gas_wiki_views,wikimedia_pageviews,3943,0,3943,1.0
natural_gas_wiki_views_desktop,wikimedia_pageviews,3943,0,3943,1.0
natural_gas_wiki_views_mobile,wikimedia_pageviews,3943,0,3943,1.0
